"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Egypt","1990","Both sexes","65",""
"El Salvador","2012","Male","68",""
"El Salvador","2012","Female","77",""
"El Salvador","2012","Both sexes","72",""
"El Salvador","2000","Male","66",""
"El Salvador","2000","Female","74",""
"El Salvador","2000","Both sexes","70",""
"El Salvador","1990","Male","61",""
"El Salvador","1990","Female","70",""
"El Salvador","1990","Both sexes","65",""
"Equatorial Guinea","2012","Male","54",""
"Equatorial Guinea","2012","Female","57",""
"Equatorial Guinea","2012","Both sexes","55",""
"Equatorial Guinea","2000","Male","49",""
"Equatorial Guinea","2000","Female","52",""
"Equatorial Guinea","2000","Both sexes","50",""
"Equatorial Guinea","1990","Male","46",""
"Equatorial Guinea","1990","Female","49",""
"Equatorial Guinea","1990","Both sexes","48",""
"Eritrea","2012","Male","61",""
"Eritrea","2012","Female","66",""
"Eritrea","2012","Both sexes","63",""
"Eritrea","2000","Male","39",""
"Eritrea","2000","Female","54",""
"Eritrea","2000","Both sexes","45",""
"Eritrea","1990","Male","46",""
"Eritrea","1990","Female","50",""
"Eritrea","1990","Both sexes","48",""
"Estonia","2012","Male","71",""
"Estonia","2012","Female","81",""
"Estonia","2012","Both sexes","77",""
"Estonia","2000","Male","65",""
"Estonia","2000","Female","76",""
"Estonia","2000","Both sexes","71",""
"Estonia","1990","Male","64",""
"Estonia","1990","Female","75",""
"Estonia","1990","Both sexes","70",""
"Ethiopia","2012","Male","62",""
"Ethiopia","2012","Female","65",""
"Ethiopia","2012","Both sexes","64",""
"Ethiopia","2000","Male","50",""
"Ethiopia","2000","Female","53",""
"Ethiopia","2000","Both sexes","51",""
"Ethiopia","1990","Male","42",""
"Ethiopia","1990","Female","48",""
"Ethiopia","1990","Both sexes","45",""
"Fiji","2012","Male","67",""
"Fiji","2012","Female","73",""
"Fiji","2012","Both sexes","69",""
"Fiji","2000","Male","65",""
"Fiji","2000","Female","70",""
"Fiji","2000","Both sexes","68",""
"Fiji","1990","Male","64",""
"Fiji","1990","Female","68",""
"Fiji","1990","Both sexes","66",""
"Finland","2012","Male","78",""
"Finland","2012","Female","84",""
"Finland","2012","Both sexes","81",""
"Finland","2000","Male","74",""
"Finland","2000","Female","81",""
"Finland","2000","Both sexes","78",""
"Finland","1990","Male","71",""
"Finland","1990","Female","79",""
"Finland","1990","Both sexes","75",""
"France","2012","Male","79",""
"France","2012","Female","85",""
"France","2012","Both sexes","82",""
"France","2000","Male","75",""
"France","2000","Female","83",""
"France","2000","Both sexes","79",""
"France","1990","Male","73",""
"France","1990","Female","82",""
"France","1990","Both sexes","78",""
"Gabon","2012","Male","62",""
"Gabon","2012","Female","64",""
"Gabon","2012","Both sexes","63",""
"Gabon","2000","Male","59",""
"Gabon","2000","Female","60",""
"Gabon","2000","Both sexes","59",""
"Gabon","1990","Male","60",""
"Gabon","1990","Female","63",""
"Gabon","1990","Both sexes","61",""
"Gambia","2012","Male","59",""
"Gambia","2012","Female","63",""
"Gambia","2012","Both sexes","61",""
"Gambia","2000","Male","55",""
"Gambia","2000","Female","58",""
"Gambia","2000","Both sexes","56",""
"Gambia","1990","Male","50",""
"Gambia","1990","Female","53",""
"Gambia","1990","Both sexes","52",""
"Georgia","2012","Male","70",""
"Georgia","2012","Female","78",""
"Georgia","2012","Both sexes","74",""
"Georgia","2000","Male","68",""
"Georgia","2000","Female","76",""
"Georgia","2000","Both sexes","72",""
"Georgia","1990","Male","67",""
"Georgia","1990","Female","75",""
"Georgia","1990","Both sexes","71",""
"Germany","2012","Male","78",""
"Germany","2012","Female","83",""
"Germany","2012","Both sexes","81",""
"Germany","2000","Male","75",""
"Germany","2000","Female","81",""
"Germany","2000","Both sexes","78",""
"Germany","1990","Male","72",""
"Germany","1990","Female","79",""
"Germany","1990","Both sexes","76",""
"Ghana","2012","Male","61",""
"Ghana","2012","Female","64",""
"Ghana","2012","Both sexes","62",""
"Ghana","2000","Male","57",""
"Ghana","2000","Female","59",""
"Ghana","2000","Both sexes","58",""
"Ghana","1990","Male","55",""
"Ghana","1990","Female","58",""
"Ghana","1990","Both sexes","57",""
"Greece","2012","Male","78",""
"Greece","2012","Female","83",""
"Greece","2012","Both sexes","81",""
"Greece","2000","Male","76",""
"Greece","2000","Female","81",""
"Greece","2000","Both sexes","78",""
"Greece","1990","Male","75",""
"Greece","1990","Female","80",""
"Greece","1990","Both sexes","77",""
"Grenada","2012","Male","69",""
"Grenada","2012","Female","77",""
"Grenada","2012","Both sexes","73",""
"Grenada","2000","Male","70",""
"Grenada","2000","Female","76",""
"Grenada","2000","Both sexes","73",""
"Grenada","1990","Male","67",""
"Grenada","1990","Female","74",""
"Grenada","1990","Both sexes","70",""
"Guatemala","2012","Male","68",""
"Guatemala","2012","Female","75",""
"Guatemala","2012","Both sexes","72",""
"Guatemala","2000","Male","64",""
"Guatemala","2000","Female","71",""
"Guatemala","2000","Both sexes","68",""
"Guatemala","1990","Male","60",""
"Guatemala","1990","Female","65",""
"Guatemala","1990","Both sexes","62",""
"Guinea","2012","Male","57",""
"Guinea","2012","Female","59",""
"Guinea","2012","Both sexes","58",""
"Guinea","2000","Male","50",""
"Guinea","2000","Female","52",""
"Guinea","2000","Both sexes","51",""
"Guinea","1990","Male","46",""
"Guinea","1990","Female","48",""
"Guinea","1990","Both sexes","47",""
"Guinea-Bissau","2012","Male","53",""
"Guinea-Bissau","2012","Female","56",""
"Guinea-Bissau","2012","Both sexes","54",""
"Guinea-Bissau","2000","Male","51",""
"Guinea-Bissau","2000","Female","53",""
"Guinea-Bissau","2000","Both sexes","52",""
"Guinea-Bissau","1990","Male","47",""
"Guinea-Bissau","1990","Female","52",""
"Guinea-Bissau","1990","Both sexes","49",""
"Guyana","2012","Male","60",""
"Guyana","2012","Female","67",""
"Guyana","2012","Both sexes","63",""
"Guyana","2000","Male","62",""
"Guyana","2000","Female","67",""
"Guyana","2000","Both sexes","65",""
"Guyana","1990","Male","59",""
"Guyana","1990","Female","67",""
"Guyana","1990","Both sexes","63",""
"Haiti","2012","Male","61",""
"Haiti","2012","Female","64",""
"Haiti","2012","Both sexes","62",""
"Haiti","2000","Male","55",""
"Haiti","2000","Female","57",""
"Haiti","2000","Both sexes","56",""
"Haiti","1990","Male","52",""
"Haiti","1990","Female","56",""
"Haiti","1990","Both sexes","54",""
"Honduras","2012","Male","72",""
"Honduras","2012","Female","77",""
"Honduras","2012","Both sexes","74",""
"Honduras","2000","Male","69",""
"Honduras","2000","Female","73",""
"Honduras","2000","Both sexes","71",""
"Honduras","1990","Male","65",""
"Honduras","1990","Female","69",""
"Honduras","1990","Both sexes","67",""
"Hungary","2012","Male","71",""
"Hungary","2012","Female","79",""
"Hungary","2012","Both sexes","75",""
"Hungary","2000","Male","68",""
"Hungary","2000","Female","76",""
"Hungary","2000","Both sexes","72",""
"Hungary","1990","Male","65",""
"Hungary","1990","Female","74",""
"Hungary","1990","Both sexes","69",""
"Iceland","2012","Male","81",""
"Iceland","2012","Female","84",""
"Iceland","2012","Both sexes","82",""
"Iceland","2000","Male","78",""
"Iceland","2000","Female","82",""
"Iceland","2000","Both sexes","80",""
"Iceland","1990","Male","75",""
"Iceland","1990","Female","81",""
"Iceland","1990","Both sexes","78",""
"India","2012","Male","64",""
"India","2012","Female","68",""
"India","2012","Both sexes","66",""
"India","2000","Male","61",""
"India","2000","Female","63",""
"India","2000","Both sexes","62",""
"India","1990","Male","57",""
"India","1990","Female","58",""
"India","1990","Both sexes","58",""
"Indonesia","2012","Male","69",""
"Indonesia","2012","Female","73",""
"Indonesia","2012","Both sexes","71",""
"Indonesia","2000","Male","65",""
"Indonesia","2000","Female","69",""
"Indonesia","2000","Both sexes","67",""
"Indonesia","1990","Male","60",""
"Indonesia","1990","Female","64",""
"Indonesia","1990","Both sexes","62",""
"Iran (Islamic Republic of)","2012","Male","72",""
"Iran (Islamic Republic of)","2012","Female","76",""
"Iran (Islamic Republic of)","2012","Both sexes","74",""
"Iran (Islamic Republic of)","2000","Male","69",""
"Iran (Islamic Republic of)","2000","Female","71",""
"Iran (Islamic Republic of)","2000","Both sexes","70",""
"Iran (Islamic Republic of)","1990","Male","63",""
"Iran (Islamic Republic of)","1990","Female","64",""
"Iran (Islamic Republic of)","1990","Both sexes","64",""
"Iraq","2012","Male","66",""
"Iraq","2012","Female","74",""
"Iraq","2012","Both sexes","70",""
"Iraq","2000","Male","68",""
"Iraq","2000","Female","73",""
"Iraq","2000","Both sexes","71",""
"Iraq","1990","Male","67",""
"Iraq","1990","Female","71",""
"Iraq","1990","Both sexes","69",""
"Ireland","2012","Male","79",""
"Ireland","2012","Female","83",""
"Ireland","2012","Both sexes","81",""
"Ireland","2000","Male","74",""
"Ireland","2000","Female","79",""
"Ireland","2000","Both sexes","77",""
"Ireland","1990","Male","72",""
"Ireland","1990","Female","78",""
"Ireland","1990","Both sexes","75",""
"Israel","2012","Male","80",""
"Israel","2012","Female","84",""
"Israel","2012","Both sexes","82",""
"Israel","2000","Male","77",""
"Israel","2000","Female","81",""
"Israel","2000","Both sexes","79",""
"Israel","1990","Male","75",""
"Israel","1990","Female","79",""
"Israel","1990","Both sexes","77",""
"Italy","2012","Male","80",""
"Italy","2012","Female","85",""
"Italy","2012","Both sexes","83",""
"Italy","2000","Male","77",""
"Italy","2000","Female","83",""
"Italy","2000","Both sexes","80",""
"Italy","1990","Male","74",""
"Italy","1990","Female","80",""
"Italy","1990","Both sexes","77",""
"Jamaica","2012","Male","72",""
"Jamaica","2012","Female","77",""
"Jamaica","2012","Both sexes","74",""
"Jamaica","2000","Male","68",""
"Jamaica","2000","Female","75",""
"Jamaica","2000","Both sexes","71",""
"Jamaica","1990","Male","69",""
"Jamaica","1990","Female","74",""
"Jamaica","1990","Both sexes","71",""
"Japan","2012","Male","80",""
"Japan","2012","Female","87",""
"Japan","2012","Both sexes","84",""
"Japan","2000","Male","78",""
"Japan","2000","Female","85",""
