"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Europe & Central Asia (IDA & IBRD countries)","TEC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6346.96150230371","6167.78152857616","5673.63320843162","5503.24699665219","5109.70931413012","5144.71552413126","5268.49865066794","5508.34374916103","5568.17069993125","5758.44700456035","6398.3113330361","6792.2576513435","7263.41453908724","7908.11054207702","8818.28510028428","9793.28118104633","11529.8188392729","12859.3831317628","14674.0756488884","14276.6104991479","15303.3188141864","17270.0822681178","18179.9603925553","18874.8519777183","19393.4401933486","19365.108280122","19648.1263212525","20851.5463131604",
"Togo","TGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","860","820","700","770","850","930","1040","1000","1000","990","970","960","1000","1020","1030","1080","1110","1010","1020","1030","1050","1090","1110","1250","1490","1550","1620",
"Thailand","THA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4240","4690","5100","5630","6150","6710","7090","6900","6310","6680","7140","7420","7870","8490","9190","9800","10630","11470","11810","11770","12660","13210","14040","14310","14850","15400","16140","17090",
"Tajikistan","TJK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2360","2210","1580","1310","1020","890","720","770","810","830","900","990","1090","1200","1360","1470","1580","1740","1890","1930","2550","2820","3020","3340","3320","3360","3500","3670",
"Turkmenistan","TKM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4430","3750","3380","3600","3280","3430","3950","3970","4330","4380","4630","4930","5380","6350","7150","8040","8400","8920","10130","11280","12500","13740","15030","16430","17320",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5577.94462147895","5926.24297658196","6165.74740674348","6772.07049271738","7089.58309336376","7177.76253612021","7396.40588892288","7791.5827737899","7888.41179728384","7898.80913086035","8282.41213951853","8387.22403417189","8390.47966292461","8586.33694888044","9258.55345561148","9942.02289620141","10763.6721019067","11659.1060392296","12247.5225864713","12043.1449917815","12867.1564773649","13683.218696674","14181.8029615421","14665.1755009278","14961.9031770553","14845.4584470465","14834.4063883637","15237.1940225269",
"Timor-Leste","TLS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3480","3650","4050","3280","2610","2620","3930","5830","7060","6950","7250","7860","6630","6620","5460","7120","7110","6330",
"Middle East & North Africa (IDA & IBRD countries)","TMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5187.88799059","5130.9585024869","5365.44699263274","5533.20354523542","5593.91761799453","5786.8480579915","6045.22750457953","6270.24927356192","6656.38697053305","6868.69286931763","7241.44516335363","7488.60610914276","7705.68664090867","7920.61813010617","8622.16117131148","9145.06375513261","9842.7363346819","10591.2514633051","11035.5257939915","11135.9700361208","11574.7345883111","11484.8598885983","11796.0690269112","11962.5561162623","12217.6720429117","12291.5563609438","13168.5867139415","13626.9974082162",
"Tonga","TON","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2370","2580","2620","2770","3080","3170","3230","3270","3440","3520","3630","3820","4090","4190","4280","4400","4550","4480","4660","4830","5040","5250","5380","5250","5340","5580","5780","6050",
"South Asia (IDA & IBRD)","TSA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1191.94700384179","1223.89991212838","1293.80952962101","1353.74154545825","1435.04076914203","1536.57879329415","1636.67823630741","1693.07978347374","1770.83884791933","1900.36116363088","1980.73224450779","2076.78689179606","2157.92328169401","2324.80047429012","2523.51134098237","2785.68472511326","3068.16707457053","3387.87737215478","3530.58833461745","3772.58255715453","4087.14884856622","4379.10496069922","4632.0631294143","4919.56879052883","5286.39599901173","5675.28059897275","6059.5985941458","6538.40864043476",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529.36278772654","1543.58310423052","1494.07367281962","1492.82150840237","1512.91979495003","1587.389585006","1666.60891566146","1720.44796894106","1726.70348703025","1757.3571752537","1771.07193295223","1843.04110156925","1890.87905542792","1962.35277064225","2195.21738499203","2331.88915256284","2575.50800138813","2718.28122715434","2837.0202595246","2881.22638372288","3020.13152787261","3138.22591292718","3240.86824591825","3321.38141765244","3524.03648090102","3608.39893265672","3617.05569664688","3683.09312875292",
"Trinidad and Tobago","TTO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7300","7490","7480","7630","8080","8560","9300","10400","11480","12540","13400","14480","15930","18370","20930","22420","25940","27940","29340","27870","29140","27260","29050","30580","30760","33240","31420","30520",
"Tunisia","TUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3510","3650","3920","3950","4110","4260","4550","4860","5100","5440","5740","6060","6180","6570","7100","7440","8040","8650","9050","9400","9750","9640","10150","10460","10940","11110","11160","11490",
"Turkey","TUR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040","6190","6610","7200","6780","7350","7890","8490","8990","8640","9440","8990","9150","9430","10710","11760","13470","14710","15890","15300","17300","19490","20480","22110","23820","24570","24980","27550",
"Tuvalu","TUV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4700","5790","4030","4440","4390","4410","5140","5110","5240","4680","4750","4050","5030","4440","5710","5720","5780",
"Tanzania","TZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910","930","930","930","940","970","1020","1040","1070","1110","1160","1200","1300","1370","1470","1590","1690","1810","1890","1940","2030","2170","2240","2370","2500","2610","2760","2916.41920728093",
"Uganda","UGA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","520","520","570","600","660","710","740","770","810","820","840","900","950","1000","1060","1170","1270","1360","1410","1460","1580","1610","1630","1690","1740","1780","1820",
"Ukraine","UKR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6920","6520","5880","5040","4060","3630","3370","3350","3330","3380","3690","4210","4560","5150","5970","6380","7070","7890","8320","7090","7550","8090","8330","8480","8580","7850","8190","8899.76134106837",
"Upper middle income","UMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3226.59091320378","3338.93474622557","3428.24843515445","3688.18416835023","3822.87581395005","3996.91988385653","4207.87252389098","4452.70429776542","4570.14439749792","4760.70132007858","5161.29209798327","5437.61782839104","5773.94410778707","6187.16550459528","6850.69281852345","7567.3330165482","8567.67719732652","9614.46498836717","10531.5148429735","10820.4532216405","11728.7644705905","12770.9738739066","13651.4250825723","14399.7159600544","15257.1014484456","15761.3114718369","16524.0972960256","17558.8640144582",
"Uruguay","URY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6130","6600","7270","7600","8250","8260","8830","9740","10220","10190","10180","9990","9440","9260","9970","11220","12100","13200","14270","14890","16110","17300","18250","19290","20180","20530","21030","21870",
"United States","USA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23730","24180","25180","26000","27350","28550","29980","31620","33230","34850","36930","37860","38590","39960","42260","44740","47390","48420","48640","47250","48880","50710","52850","53990","56150","57880","58650","60200",
"Uzbekistan","UZB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760","1730","1640","1630","1650","1720","1800","1880","1950","2050","2150","2260","2490","2730","2970","3460","3840","3990","4280","4650","5070","5540","5920","6200","6640","7130",
"St. Vincent and the Grenadines","VCT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3440","3590","3960","4230","4220","4650","4840","5050","5320","5470","5700","5990","6450","6990","7410","7850","8810","8970","9750","9740","9540","9680","10140","10550","10860","11080","11380","11770",
"Venezuela, RB","VEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9190","10230","10640","10690","10390","10880","10840","11450","11400","10820","11290","11660","10460","9680","11500","13110","14740","16450","17230","16370","16010","16550","17530","17700","17440","","","",
"British Virgin Islands","VGB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","950","1060","1140","1260","1410","1540","1660","1760","1860","2160","2330","2490","2680","2950","2980","3240","3510","3740","3880","4150","4430","4710","4980","5280","5610","6040","6450",
"Vanuatu","VUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1690","1560","1550","1680","1640","1760","1750","1810","2040","2070","2130","2130","1940","2000","2080","2170","2420","2530","2830","2790","2790","2830","2770","2970","3050","2920","3050","3170",
"World","WLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5381.95115196456","5570.24941119355","5733.48361348097","5933.20677791446","6166.10457526704","6407.41230192898","6689.88297241818","6987.98174313404","7159.65980596025","7414.46924193695","7878.04857146952","8160.42992031533","8425.68262397058","8787.54553614705","9406.06628993949","10020.0474479014","10884.0465462315","11632.4803770432","12145.0764599169","12111.8196918231","12783.3900466625","13500.8381216459","14078.5710569096","14638.6953803851","15240.5996551452","15686.7264643554","16189.8317141753","16926.666769427",
"Samoa","WSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2970","3060","3160","3430","3750","3940","4020","4380","4500","4620","5030","5130","4970","5140","5460","5480","5450","5590","5800","6230","6390",
"Kosovo","XKX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6570","7330","7530","7580","7860","8410","8800","9090","9350","9900","10330","11050",
"Yemen, Rep.","YEM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2140","2170","2310","2350","2440","2460","2410","2500","2690","2660","2840","2960","3020","3070","3150","3340","3580","3700","3770","3940","4130","3530","3690","3830","3730","2580","2380","",
"South Africa","ZAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040","6100","5990","6070","6280","6460","6720","6890","6880","7030","7380","7590","7940","8210","8770","9420","10140","10700","11160","11050","11400","11810","12100","12440","12700","12850","12880","13090",
"Zambia","ZMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1350","1340","1470","1350","1390","1470","1500","1460","1540","1590","1680","1740","1860","1920","2040","2170","2310","2550","2880","3000","3200","3530","3550","3750","3800","3850","3920",
"Zimbabwe","ZWE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1630","1730","1560","1590","1730","1730","1930","1960","1980","1980","1940","2000","1840","1550","1470","1410","1370","1320","1050","1100","1240","1390","1610","1750","1790","1790","1810","1850",
