"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13390","13590","14750","14870","15700","16480","16710","17320","19990","19220","20550","22110","23140","23650","25280","27250","29340","32470","34110","33440","32260","33190","30930","29190","29270","31730","32370","33609.4893636795",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11670","12030","12640","13600","14340","14490","14670","15020","15850","17050","17510","18720","19820","20920","22300","24400","25980","25600","25550","26620","27250","28670","30080","31210","32530","35010",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19750","21140","21860","21940","22790","23530","24080","24560","25200","26140","27110","28260","28980","29720","31650","32250","34840","36980","38400","37870","40000","43770","44590","46250","48020","48690","49770","51760",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4220","4340","4540","4740","4800","4950","5080","5340","5760","5690","5720","6170","6080","6690","6980","7260","8010","8660","9500","9560","9800","9920","9970","9820","10450","10240","10620","10170",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17740","18510","19330","19860","21350","22430","23420","24580","25520","26430","28070","29060","30280","30590","33060","34430","37750","39160","41740","40730","43750","45340","45820","48210","49640","50190","50270","51560",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3380","3480","3860","4090","4230","4460","4810","5150","5450","5780","6140","6240","6510","6380","6420","7130","7960","9200","9680","9720","10510","10880","11240","11600","12520","13490","14340","15290",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6390","6270","6400","6340","6250","6420","6680","6820","7170","7360","7690","8170","8570","9270","9760","10430","10880","11670","12070","12130","12580","12850","13160","13420","13900","14220","14870","15050",
